run_id,created_at,finished_at,status,source,arch,dataset,device,N,time,encoder,poisson_rate_scale,poisson_deterministic,encoder_rate_boost,c1_out,c2_out,c3_out,wta_enable,ei_enable,homeo_enable,adapt_thresh_enable,greedy_enable,greedy_n1,greedy_n2,first_spike_only,spikes_per_sample,energy_proxy_per_sample,assigned_neurons,total_neurons,neurons_per_class_min,neurons_per_class_max,neurons_per_class_mean,neurons_per_class_cv,best_readout_name,best_readout_acc,run_dir
20260421T100603Z_6042171dfe09,2026-04-21T10:06:03Z,2026-04-21T10:06:29Z,failed,runs_agent/summary.json,fc,mnist,cuda,60000,200,poisson,0.011,,3.0,,,,,,,,,,,,,,,,,,,,,,runs_agent/20260421T100603Z_6042171dfe09
20260421T100634Z_9229291875fe,2026-04-21T10:06:34Z,2026-04-21T10:06:35Z,failed,runs_agent/summary.json,fc,mnist,cuda,60000,200,latency,0.011,,1.0,,,,,,,,,,,,,,,,,,,,,,runs_agent/20260421T100634Z_9229291875fe
20260421T142057Z_d89a92e53ecd,2026-04-21T14:20:57Z,2026-04-21T14:21:10Z,failed,runs_agent/summary.json,fc,mnist,cuda,12000,200,poisson,0.011,,5.5,,,,,,,,,,,,,,,,,,,,,,runs_agent/20260421T142057Z_d89a92e53ecd
20260421T144340Z_1ff1930b211d,2026-04-21T14:43:40Z,2026-04-21T16:33:45Z,failed,runs_agent/summary.json,fc,mnist,cuda,12000,200,latency,0.011,,1.0,,,,,,,,,,,,,,,,,,,,,,runs_agent/20260421T144340Z_1ff1930b211d
20260421T182636Z_bfd61ae946ba,2026-04-21T18:26:36Z,2026-04-21T20:26:32Z,ok,runs_agent/summary.json,fc,mnist,cuda,12000,200,poisson,0.011,,5.5,,,,,,,,,,,,600.0,3063.9333333333334,200,200,,,,,TFIDF+MLP,0.38600000739097595,runs_agent/20260421T182636Z_bfd61ae946ba
20260422T034811Z_4a9b54933777,2026-04-22T03:48:11Z,2026-04-22T05:41:48Z,ok,runs_agent/summary.json,fc,mnist,cuda,12000,200,poisson,0.011,True,5.5,,,,,,,,,,,,118.57408333333333,1349.2928333333334,100,100,,,,,TFIDF+MLP,0.3440000116825104,runs_agent/20260422T034811Z_4a9b54933777
20260422T075647Z_067dfc0366b9,2026-04-22T07:56:47Z,2026-04-22T09:51:40Z,ok,runs_agent/summary.json,fc,mnist,cuda,12000,200,latency,0.011,True,1.0,,,,,,,,,,,,115.92858333333334,934.1556666666667,100,100,,,,,TFIDF+MLP,0.44999998807907104,runs_agent/20260422T075647Z_067dfc0366b9
20260422T104155Z_2f85e896f3a1,2026-04-22T10:41:55Z,2026-04-22T10:42:04Z,ok,runs_csnn/registry.jsonl,csnn,,cpu,200,50,poisson,0.011,True,,16,,,,,,,,,,,442.235,442.235,,,,,,,,,runs_csnn/20260422T104155Z_2f85e896f3a1
20260422T104458Z_09ba0049f283,2026-04-22T10:44:58Z,2026-04-22T10:45:23Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,500,50,poisson,0.011,True,,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T104458Z_09ba0049f283
20260422T104605Z_fd1a56819092,2026-04-22T10:46:05Z,2026-04-22T10:46:06Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,200,30,poisson,0.011,True,3.0,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T104605Z_fd1a56819092
20260422T104645Z_fd1a56819092,2026-04-22T10:46:45Z,2026-04-22T10:46:51Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,200,30,poisson,0.011,True,3.0,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T104645Z_fd1a56819092
20260422T104729Z_fd1a56819092,2026-04-22T10:47:29Z,2026-04-22T10:47:36Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,200,30,poisson,0.011,True,3.0,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T104729Z_fd1a56819092
20260422T104859Z_000cfa06b491,2026-04-22T10:48:59Z,2026-04-22T10:50:42Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,2000,50,poisson,0.011,True,3.0,32,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T104859Z_000cfa06b491
20260422T105102Z_000cfa06b491,2026-04-22T10:51:02Z,2026-04-22T10:52:45Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,2000,50,poisson,0.011,True,3.0,32,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T105102Z_000cfa06b491
20260422T105920Z_fe2b7ad33e14,2026-04-22T10:59:20Z,2026-04-22T10:59:26Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,200,30,poisson,0.011,True,,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T105920Z_fe2b7ad33e14
20260422T110026Z_fe2b7ad33e14,2026-04-22T11:00:26Z,2026-04-22T11:00:33Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,200,30,poisson,0.011,True,,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T110026Z_fe2b7ad33e14
20260422T110142Z_fe2b7ad33e14,2026-04-22T11:01:42Z,2026-04-22T11:01:48Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,200,30,poisson,0.011,True,,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T110142Z_fe2b7ad33e14
20260422T110215Z_fe2b7ad33e14,2026-04-22T11:02:15Z,2026-04-22T11:02:22Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,200,30,poisson,0.011,True,,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T110215Z_fe2b7ad33e14
20260422T110314Z_fe2b7ad33e14,2026-04-22T11:03:14Z,2026-04-22T11:03:21Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,200,30,poisson,0.011,True,,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T110314Z_fe2b7ad33e14
20260422T112240Z_263bb330ee9c,2026-04-22T11:22:40Z,2026-04-22T11:24:23Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,2000,50,poisson,0.011,True,3.0,32,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T112240Z_263bb330ee9c
20260422T112620Z_263bb330ee9c,2026-04-22T11:26:20Z,2026-04-22T11:28:23Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,2000,50,poisson,0.011,True,3.0,32,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T112620Z_263bb330ee9c
20260422T112944Z_1f5ba5ec1ea1,2026-04-22T11:29:44Z,2026-04-22T11:30:47Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,1000,50,poisson,0.011,True,3.0,32,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T112944Z_1f5ba5ec1ea1
20260422T113150Z_77004010edd6,2026-04-22T11:31:50Z,2026-04-22T11:32:29Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,500,50,poisson,0.011,True,3.0,32,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T113150Z_77004010edd6
20260422T113437Z_44c13caa9539,2026-04-22T11:34:37Z,2026-04-22T11:34:45Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,200,20,poisson,0.011,True,3.0,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T113437Z_44c13caa9539
20260422T113915Z_44c13caa9539,2026-04-22T11:39:15Z,2026-04-22T11:39:52Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,200,20,poisson,0.011,True,3.0,16,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T113915Z_44c13caa9539
20260422T114419Z_44c13caa9539,2026-04-22T11:44:19Z,2026-04-22T11:44:56Z,ok,runs_csnn/registry.jsonl,csnn,,cpu,200,20,poisson,0.011,True,3.0,16,,,,,,,,,,,488.53,488.53,47,9216,,,,,TFIDF+MLP,0.25,runs_csnn/20260422T114419Z_44c13caa9539
20260422T120049Z_13f871056c01,2026-04-22T12:00:49Z,2026-04-22T15:44:41Z,failed,runs_csnn/registry.jsonl,csnn,,cuda,60000,100,poisson,0.011,True,3.0,64,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T120049Z_13f871056c01
20260422T161357Z_13f871056c01,2026-04-22T16:13:57Z,2026-04-22T19:48:15Z,failed,runs_csnn/registry.jsonl,csnn,,cuda,60000,100,poisson,0.011,True,3.0,64,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260422T161357Z_13f871056c01
20260423T042039Z_13f871056c01,2026-04-23T04:20:39Z,2026-04-23T08:03:20Z,failed,runs_csnn/registry.jsonl,csnn,,cuda,60000,100,poisson,0.011,True,3.0,64,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260423T042039Z_13f871056c01
20260423T112501Z_961961190804,2026-04-23T11:25:01Z,2026-04-23T11:25:14Z,failed,runs_csnn/registry.jsonl,csnn,,cpu,1,100,poisson,0.011,True,3.0,64,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260423T112501Z_961961190804
20260423T154120Z_cd384ffafdd6,2026-04-23T15:41:20Z,2026-04-23T15:42:03Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,1,100,poisson,0.011,True,3.0,64,,,,,,,,,,,0.0,0.0,,,,,,,counts_zscore+Linear,0.47999998927116394,runs_csnn/20260423T154120Z_cd384ffafdd6
20260423T160355Z_f2d8b306b83c,2026-04-23T16:03:55Z,2026-04-23T16:19:01Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.011,True,3.0,64,,,1,,,,,,,,174.6665,174.6665,155,36864,,,,,counts_zscore+Linear,0.4659999907016754,runs_csnn/20260423T160355Z_f2d8b306b83c
20260423T162953Z_e7bb8367fec4,2026-04-23T16:29:53Z,2026-04-23T16:29:56Z,failed,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.011,True,3.0,64,,,,1,,,,,,,,,,,,,,,,,runs_csnn/20260423T162953Z_e7bb8367fec4
20260423T164114Z_e7bb8367fec4,2026-04-23T16:41:14Z,2026-04-23T16:41:17Z,failed,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.011,True,3.0,64,,,,1,,,,,,,,,,,,,,,,,runs_csnn/20260423T164114Z_e7bb8367fec4
20260423T171030Z_39761e028a33,2026-04-23T17:10:30Z,2026-04-23T17:24:12Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.011,True,3.0,64,,,,,,,,,,,172.9195,172.9195,150,36864,,,,,counts_zscore+Linear,0.46399998664855957,runs_csnn/20260423T171030Z_39761e028a33
20260423T175730Z_d16513e7ee3d,2026-04-23T17:57:30Z,2026-04-23T21:31:48Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,60000,100,poisson,0.011,True,3.0,64,,,,,,,,,,,5.753033333333334,5.753033333333334,10,36864,,,,,counts_zscore+Linear,0.4480000138282776,runs_csnn/20260423T175730Z_d16513e7ee3d
20260424T041741Z_30bbe7fd9fa9,2026-04-24T04:17:41Z,2026-04-24T04:31:44Z,failed,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.011,True,3.0,64,,,,,,1,,,,,,,,,,,,,,,runs_csnn/20260424T041741Z_30bbe7fd9fa9
20260424T045141Z_30bbe7fd9fa9,2026-04-24T04:51:41Z,2026-04-24T05:05:08Z,failed,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.011,True,3.0,64,,,,,,1,,,,,,,,,,,,,,,runs_csnn/20260424T045141Z_30bbe7fd9fa9
20260424T051800Z_30bbe7fd9fa9,2026-04-24T05:18:00Z,2026-04-24T05:31:45Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.011,True,3.0,64,,,,,,1,,,,,173.65,173.65,138,36864,,,,,counts_zscore+Linear,0.4819999933242798,runs_csnn/20260424T051800Z_30bbe7fd9fa9
20260424T060137Z_25af670e75b8,2026-04-24T06:01:37Z,2026-04-24T09:38:59Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,60000,100,poisson,0.011,True,3.0,64,,,,,,1,,,,,5.689316666666667,5.689316666666667,12,36864,,,,,counts_zscore+Linear,0.47999998927116394,runs_csnn/20260424T060137Z_25af670e75b8
20260424T101901Z_d0a38e9989b3,2026-04-24T10:19:01Z,2026-04-24T10:35:45Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.011,True,3.0,64,,,,,,1,,,,,174.148,174.148,164,36864,,,,,counts_zscore+Linear,0.4560000002384186,runs_csnn/20260424T101901Z_d0a38e9989b3
20260424T113355Z_c18dc99c0b97,2026-04-24T11:33:55Z,2026-04-24T15:11:49Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,60000,100,poisson,0.011,True,3.0,64,,,,,,1,,,,,5.805616666666666,5.805616666666666,7,36864,,,,,counts_zscore+Linear,0.46000000834465027,runs_csnn/20260424T113355Z_c18dc99c0b97
20260424T155536Z_f6dce5329ac0,2026-04-24T15:55:36Z,2026-04-24T16:02:32Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.02,True,5.0,64,,,,,,1,,,,,143.832,143.832,,,,,,,,,runs_csnn/20260424T155536Z_f6dce5329ac0
20260424T160236Z_232355e587ba,2026-04-24T16:02:36Z,2026-04-24T16:09:46Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.02,True,5.0,64,,,,,,1,,,,,143.643,143.643,,,,,,,,,runs_csnn/20260424T160236Z_232355e587ba
20260424T165504Z_b119233e7791,2026-04-24T16:55:04Z,2026-04-24T16:56:52Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,500,100,poisson,0.02,True,5.0,64,,,,,,,,,,,570.524,570.524,,,,,,,,,runs_csnn/20260424T165504Z_b119233e7791
20260424T172226Z_a69850cbd540,2026-04-24T17:22:26Z,2026-04-24T17:24:16Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,500,100,poisson,0.03,True,6.0,64,,,,,,,,,,,504.754,504.754,,,,,,,,,runs_csnn/20260424T172226Z_a69850cbd540
20260424T172421Z_4f49f4a07195,2026-04-24T17:24:21Z,2026-04-24T17:26:05Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,500,100,poisson,0.05,True,6.0,64,,,,,,,,,,,432.158,432.158,,,,,,,,,runs_csnn/20260424T172421Z_4f49f4a07195
20260424T172609Z_fb5e45c0e38b,2026-04-24T17:26:09Z,2026-04-24T17:27:56Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,500,100,poisson,0.05,True,7.0,64,,,,,,,,,,,433.98,433.98,,,,,,,,,runs_csnn/20260424T172609Z_fb5e45c0e38b
20260424T174846Z_56eacce17633,2026-04-24T17:48:46Z,2026-04-24T17:49:30Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,200,100,poisson,0.05,True,6.0,64,,,,,,,,,,,1116.12,1116.12,,,,,,,,,runs_csnn/20260424T174846Z_56eacce17633
20260424T175403Z_56eacce17633,2026-04-24T17:54:03Z,2026-04-24T17:54:04Z,failed,runs_csnn/registry.jsonl,csnn,,cuda,200,100,poisson,0.05,True,6.0,64,,,,,,,,,,,,,,,,,,,,,runs_csnn/20260424T175403Z_56eacce17633
20260424T175532Z_56eacce17633,2026-04-24T17:55:32Z,2026-04-24T17:56:13Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,200,100,poisson,0.05,True,6.0,64,,,,,,,,,,,2.455,2.455,,,,,,,,,runs_csnn/20260424T175532Z_56eacce17633
20260424T180357Z_56eacce17633,2026-04-24T18:03:57Z,2026-04-24T18:04:40Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,200,100,poisson,0.05,True,6.0,64,,,,,,,,,,,0.4,0.4,,,,,,,,,runs_csnn/20260424T180357Z_56eacce17633
20260424T180745Z_56eacce17633,2026-04-24T18:07:45Z,2026-04-24T18:08:29Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,200,100,poisson,0.05,True,6.0,64,,,,,,,,,,,0.41,0.41,,,,,,,,,runs_csnn/20260424T180745Z_56eacce17633
20260424T184922Z_291bd0701943,2026-04-24T18:49:22Z,2026-04-24T18:50:03Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,200,100,poisson,0.05,True,6.0,64,,,,,,,,,,,0.65,0.65,,,,,,,,,runs_csnn/20260424T184922Z_291bd0701943
20260424T190527Z_872324482019,2026-04-24T19:05:27Z,2026-04-24T19:07:15Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,500,100,poisson,0.02,True,5.0,64,,,,,,,,,,,1276.004,1276.004,,,,,,,,,runs_csnn/20260424T190527Z_872324482019
20260424T191210Z_8c060b95bd4d,2026-04-24T19:12:10Z,2026-04-24T19:19:05Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.02,True,5.0,64,,,,,,,,,,,1287.468,1287.468,,,,,,,,,runs_csnn/20260424T191210Z_8c060b95bd4d
20260424T193144Z_219283f438b0,2026-04-24T19:31:44Z,2026-04-24T19:33:10Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.02,True,5.0,64,,,,,,,,,,,1280.3925,1280.3925,,,,,,,,,runs_csnn/20260424T193144Z_219283f438b0
20260424T193315Z_6b515888d446,2026-04-24T19:33:15Z,2026-04-24T19:34:38Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.02,True,5.0,64,,,,,,,,,,,1280.2975,1280.2975,,,,,,,,,runs_csnn/20260424T193315Z_6b515888d446
20260424T193443Z_2e4e8e01eaf4,2026-04-24T19:34:43Z,2026-04-24T19:36:11Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.02,True,5.0,64,,,,,,,,,,,1280.1575,1280.1575,,,,,,,,,runs_csnn/20260424T193443Z_2e4e8e01eaf4
20260425T042706Z_74a0f1b36927,2026-04-25T04:27:06Z,2026-04-25T04:36:48Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,2000,100,poisson,0.02,True,5.0,64,,,,1,,,,,,,0.0,0.0,,,,,,,,,runs_csnn/20260425T042706Z_74a0f1b36927
20260425T045451Z_61c4337f27da,2026-04-25T04:54:51Z,2026-04-25T04:56:43Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.02,True,5.0,64,,,,1,,,,,,,0.0,0.0,,,,,,,,,runs_csnn/20260425T045451Z_61c4337f27da
20260425T045648Z_d11654967628,2026-04-25T04:56:48Z,2026-04-25T04:58:52Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.02,True,5.0,64,,,,1,,,,,,,0.0,0.0,,,,,,,,,runs_csnn/20260425T045648Z_d11654967628
20260425T051019Z_918ee635bc3d,2026-04-25T05:10:19Z,2026-04-25T05:15:18Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,1000,100,poisson,0.02,True,5.0,64,,,,1,,,,,,,119748.367,119748.367,,,,,,,,,runs_csnn/20260425T051019Z_918ee635bc3d
20260425T052127Z_3789463a4195,2026-04-25T05:21:27Z,2026-04-25T05:26:20Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,1000,100,poisson,0.02,True,5.0,64,,,,1,,,,,,,119746.608,119746.608,,,,,,,,,runs_csnn/20260425T052127Z_3789463a4195
20260425T052625Z_18575762961b,2026-04-25T05:26:25Z,2026-04-25T05:31:43Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,1000,100,poisson,0.02,True,5.0,64,,,,1,,,,,,,119743.982,119743.982,,,,,,,,,runs_csnn/20260425T052625Z_18575762961b
20260425T053028Z_97fbb55b6827,2026-04-25T05:30:28Z,2026-04-25T05:32:44Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.005,True,1.0,64,,,,1,,,,,,,48987.095,48987.095,,,,,,,,,runs_csnn/20260425T053028Z_97fbb55b6827
20260425T053249Z_626e809c7b06,2026-04-25T05:32:49Z,2026-04-25T05:34:52Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.01,True,1.0,64,,,,1,,,,,,,70030.2925,70030.2925,,,,,,,,,runs_csnn/20260425T053249Z_626e809c7b06
20260425T061535Z_2ccee5d66c25,2026-04-25T06:15:35Z,2026-04-25T06:17:39Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.005,True,1.0,64,,,,1,,,,,,,38065.045,38065.045,,,,,,,,,runs_csnn/20260425T061535Z_2ccee5d66c25
20260425T061744Z_5ed27ecadee9,2026-04-25T06:17:44Z,2026-04-25T06:19:48Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.005,True,1.0,64,,,,1,,,,,,,33637.7675,33637.7675,,,,,,,,,runs_csnn/20260425T061744Z_5ed27ecadee9
20260425T073646Z_394ece4ceb04,2026-04-25T07:36:46Z,2026-04-25T07:38:45Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.005,True,1.0,64,,,,1,,,,,,,33607.72,33607.72,,,,,,,,,runs_csnn/20260425T073646Z_394ece4ceb04
20260425T081102Z_3a2b6923406c,2026-04-25T08:11:02Z,2026-04-25T08:13:01Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.005,True,1.0,64,,,,1,,1,,,,,33595.0075,33595.0075,,,,,,,,,runs_csnn/20260425T081102Z_3a2b6923406c
20260425T081306Z_13df39bfd8fa,2026-04-25T08:13:06Z,2026-04-25T08:15:09Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.005,True,1.0,64,,,,1,,1,,,,,33769.895,33769.895,,,,,,,,,runs_csnn/20260425T081306Z_13df39bfd8fa
20260425T100132Z_13636d40c72b,2026-04-25T10:01:32Z,2026-04-25T10:03:33Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.001,True,1.0,64,,,,1,,,,,,,14573.09,14573.09,,,,,,,,,runs_csnn/20260425T100132Z_13636d40c72b
20260425T100338Z_5e5c1c2b99fb,2026-04-25T10:03:38Z,2026-04-25T10:05:37Z,ok,runs_csnn/registry.jsonl,csnn,,cuda,400,100,poisson,0.002,True,1.0,64,,,,1,,,,,,,25415.0475,25415.0475,,,,,,,,,runs_csnn/20260425T100338Z_5e5c1c2b99fb
